船名,类型,船龄,大小,人数,出发摘要,信息来源,正文摘录,高档舱型,高档IDR/人,高档双人CNY,中档舱型,中档IDR/人,中档双人CNY,低档舱型,低档IDR/人,低档双人CNY,链接
Black Beard Luxury Phinisi,Luxury Phinisi,未标明,30m × 6m,16,周一→周三,正文写明,Itinerary ( Start at Monday and End at Wednesday ),Royal Suite Balcony,6400000,4826,Deluxe Cabin,4600000,3468,Sharing Cabin,3900000,2940,https://www.komodotrips.com/open-trip-weekday-by-black-beard-luxury-phinisi/
El Ashar Deluxe Phinisi,Deluxe Phinisi,未标明,21m × 4.5m,16,周一→周三；Every Monday,正文写明,Departure Every Monday 3D2N,Master Cabin - Upper Deck,6000000,4524,Deluxe Room 1 - Upper Deck,5000000,3770,Sharing Room - Lower Deck,4000000,3016,https://www.komodotrips.com/open-trip-weekdays-by-el-ashar-deluxe-phinisi/
Raja Bintang Deluxe Phinisi,Deluxe Phinisi,2年（2024年造）,25m × 4m,10,周一→周三,正文写明,Itinerary (Monday – Wednesday):,Earth Cabin,6600000,4976,Lynx Cabin,5600000,4222,Athena Cabin,4050000,3054,https://www.komodotrips.com/open-trip-weekdays-by-raja-bintang-deluxe-phinisi/
Vhale Deluxe Phinisi,Deluxe Phinisi,2年（2024年造）,25m × 4m,34,周一→周三,正文写明,Itinerary (Monday – Wednesday):,Atlantic Cabin 1,8950000,6748,Pacific Cabin 1,6200000,4674,Coral Share Cabin 1,4450000,3356,https://www.komodotrips.com/open-trip-weekdays-by-vhale-deluxe-phinisi/
Semesta Luxury Phinisi,Luxury Phinisi,3年（2023年造）,32m,17,周一→周三,正文写明,"Explore the Wonders of Komodo National Park (Start at Monday, ends at Wednesday)",Moon Cabin (Owners Suite Cabin) June until August,14500000,10932,Sun Cabin (Master Ocean Suite) June until August,9500000,7164,Jupiter Cabin (Superior Suite) January until May & September until December,6000000,4524,https://www.komodotrips.com/open-trip-weekdays-by-semesta-luxury-phinisi/
Dinara Superior Phinisi,Superior Phinisi,未标明,未标明,23,正文写周五示例,正文与标签不一致,– Start Trip: 10.00 – 11.00 AM ( Friday),Master Cabin Balcony KRAKATAU,4450000,3356,Private Cabin Balcony TAMBORA,4000000,3016,Share Cabin Balcony MERAPI (4 pax),2900000,2186,https://www.komodotrips.com/open-trip-labuan-bajo-3d2n-by-dinara-superior-phinisi/
Zendaya Superior Phinisi,Superior Phinisi,未标明,未标明,14,正文写周五示例,正文与标签不一致,– Start Trip: 10.00 – 11.00 AM ( Friday),Master Cabin Private Balcony Padar,3800000,2866,Private Cabin Full Sea View Komodo,3600000,2714,Share Cabin Lower Deck Kanawa,2900000,2186,https://www.komodotrips.com/open-trip-labuan-bajo-3d2n-by-zendaya-superior-phinisi/
Sea Familia Luxury Phinisi,Luxury Phinisi,7年（2019年造）,25m × 5.3m,13,正文写周五示例,正文与标签不一致,– Start Trip: 10.00 – 11.00 AM ( Friday),Manta Cabin - Main Deck,7650000,5768,Turtle Cabin - Upper Deck,6650000,5014,Turtle Cabin - Upper Deck,6650000,5014,https://www.komodotrips.com/open-trip-labuan-bajo-3d2n-by-sea-familia-luxury-phinisi/
Ramadani Star Superior Phinisi,Superior Phinisi,8年（2018年造）,17.5m × 4m,10,未写明,仅标签推断(3d-weekdays),,Master Cabin,4050000,3054,Private Cabin,3750000,2828,Sharing Cabin 4 Pax,2700000,2036,https://www.komodotrips.com/open-trip-3d2n-by-ramadani-star-superior-phinisi/
Arham Jaya 2 Deluxe Phinisi,Deluxe Phinisi,6年（2020年造）,27m × 4.60m,19,未写明,仅标签推断(3d-weekdays),,Master Cabin Balcony 1 (Upper Deck),4650000,3506,Private Cabin 1 (Main Deck),3650000,2752,Share Cabin 1 (Main Deck),2800000,2112,https://www.komodotrips.com/open-trip-3d2n-by-arham-jaya-2-deluxe-phinisi/
King Cirox 2 Superior Phinisi,Superior Phinisi,2年（2024年造）,24.80m × 3.20m,19,未写明,仅标签推断(3d-weekdays),,Master Cabin Balcony Outdoor Bathtub - Kabin 6 Madiun,4950000,3732,Private Cabin - Kabin 4 Kediri,3950000,2978,Share Cabin Share Bathroom - Kabin 3 Gresik,2950000,2224,https://www.komodotrips.com/open-trip-3d2n-by-king-cirox-2-superior-phinisi/
Princess Lala Superior Phinisi,Superior Phinisi,6年（2020年造）,23m × 4m,17,未写明,仅标签推断(3d-weekdays),,Cabin 1 - Master Cabin Sea View,4450000,3356,Cabin 2 - Private Upper Deck Sea View,3500000,2640,Cabin 3 - Private Upper Deck Sea View,2950000,2224,https://www.komodotrips.com/open-trip-3d2n-by-princess-lala/
Nusantara Karya Deluxe Phinisi,Deluxe Phinisi,6年（2020年造）,27m × 4.20m,14,未写明,仅标签推断(3d-weekdays),,Master Cabin Balcony,4850000,3656,Deluxe Ocean,4150000,3130,Share Cabin (2 x Double Bed),3500000,2640,https://www.komodotrips.com/open-trip-3d2n-by-nusantara-karya-deluxe-phinisi/
New IJC Deluxe Phinisi,Deluxe Phinisi,4年（2022年造）,20m × 4m,9,未写明,仅标签推断(3d-weekdays),,Master Cabin,4850000,3656,Private Cabin,4300000,3242,Sharing Cabin,3600000,2714,https://www.komodotrips.com/open-trip-3d2n-by-new-ijc-deluxe-phinisi/
Lexxy Liveaboard,Liveaboard,未标明,未标明,22,未写明,仅标签推断(3d-weekdays),,Honeymoon Cabin,4450000,3356,Private Cabin,4200000,3166,Sharing Cabin,3600000,2714,https://www.komodotrips.com/open-trip-3-days-2-nights-by-lexxy-liveaboard/
Nadia Deluxe Phinisi,Deluxe Phinisi,未标明,26m × 4m,12,未写明,仅标签推断(3d-weekdays),,"Cabin 1, Master Cabin Sea View - Upper Deck",4250000,3204,"Cabin 3, Deluxe Cabin Sea View - Main Deck",3750000,2828,"Cabin 3, Deluxe Cabin Sea View - Main Deck",3750000,2828,https://www.komodotrips.com/open-trip-3-days-2-nights-by-nadia-deluxe-phinisi/
Ahsana Liveaboard Luxury Phinisi,Luxury Phinisi,未标明,30m × 6m,22,未写明,仅标签推断(3d-weekdays),,Master Cabin - Main Deck,7600000,5730,Deluxe Balcony Cabin 1 - Upper Deck,6600000,4976,Sharing Cabin - Lower Deck,4350000,3280,https://www.komodotrips.com/open-trip-3d2n-by-ahsana-liveaboard-luxury-phinisi/
Vinca Voyages Luxury Phinisi,Luxury Phinisi,6年（2020年造）,31m × 5.5m,10,未写明,仅标签推断(3d-weekdays),,Japanese Room,8500000,6408,Japanese Room - 3rd Person,5500000,4148,Balinese Room - 4th Person,4500000,3392,https://www.komodotrips.com/open-trip-3d2n-by-vinca-voyages/
Bombana 2 Deluxe Phinisi,Deluxe Phinisi,4年（2022年造）,22.60m × 5.15m,15,未写明,仅标签推断(3d-weekdays),,Master Cabin with Bathtub,7300000,5504,Private Cabin with Balcony,6300000,4750,Sharing Cabin 3 pax,4600000,3468,https://www.komodotrips.com/open-trip-3d2n-by-bombana-2-deluxe-phinisi/
Kanthaka Luxury Phinisi,Luxury Phinisi,1年（2025年造）,33.7m × 6.3m,15,未写明,仅标签推断(3d-weekdays),,Sagara Cabin (Upper Deck),11500000,8672,Sagara Cabin (Upper Deck) - Additional Person,7200000,5428,Aruna Cabin (Lower Deck) - Additional Person,4700000,3544,https://www.komodotrips.com/open-trip-3d2n-by-kanthaka-luxury-phinisi/
Zada Ulla Deluxe Phinisi,Deluxe Phinisi,未标明,35.65m × 6.85m,22,未写明,仅标签推断(3d-weekdays),,Master Bedroom - Upper Deck,13000000,9802,Deluxe Sea View Bedroom 1 - Upper Deck,6500000,4900,Deluxe Bedroom 1 - Lower Deck,5000000,3770,https://www.komodotrips.com/open-trip-3d2n-by-zada-ulla-deluxe-phinisi/
Zada Zen Cruise Deluxe Phinisi,Deluxe Phinisi,未标明,20.88m × 4.02m,7,未写明,仅标签推断(3d-weekdays),,Master Bedroom (Upper Deck),9000000,6786,Suite Bedroom (Main Deck),7000000,5278,Master Bedroom (Upper Deck) - Additional Person,5000000,3770,https://www.komodotrips.com/open-trip-3d2n-by-zada-zen-cruise-deluxe-phinisi/
Akassa Luxury Phinisi,Luxury Phinisi,5年（2021年造）,未标明,8,未写明,仅标签推断(3d-weekdays),,Laut - Legendary Suite (June until August),13500000,10180,Bumi - Deluxe Suite (June until August),10500000,7916,Langit - VIP Suite - Additional Person (January until May & September until December),5000000,3770,https://www.komodotrips.com/open-trip-weekdays-by-akassa-luxury-phinisi/
Zada Nara Luxury Phinisi,Luxury Phinisi,未标明,30.45m × 6.02m,8,未写明,仅标签推断(3d-weekdays),,Master Bedroom,10350000,7804,Deluxe Bedroom,5350000,4034,Deluxe Bedroom,5350000,4034,https://www.komodotrips.com/open-trip-3-days-2-nights-weekdays-by-zada-nara-luxury-phinisi/
Tara Luxury Phinisi,Luxury Phinisi,未标明,34.4m,26,未写明,仅标签推断(3d-weekdays),,Master cabin with balcony (Mentawai) - Upper Deck,8700000,6560,Deluxe 90° sea view 1 - Upper Deck,7200000,5428,Sharing Cabin 3 pax (Kei) - Lower Deck,5400000,4072,https://www.komodotrips.com/open-trip-tara-luxury-phinisi-for-3d2n/
Zada Mega Trusmi Deluxe Phinisi,Deluxe Phinisi,未标明,20.88m × 4.02m,7,未写明,仅标签推断(3d-weekdays),,Master Bedroom,8000000,6032,Deluxe Bedroom,6000000,4524,Deluxe Bedroom,6000000,4524,https://www.komodotrips.com/open-trip-3d2n-by-zada-mega-trusmi-deluxe-phinisi/
Elbark Luxury Phinisi,Luxury Phinisi,5年（2021年造）,37m × 6.8m,21,未写明,仅标签推断(3d-weekdays),,Mentawai Cabin,9350000,7050,Rote Cabin,8350000,6296,Banda Neira Cabin,6500000,4900,https://www.komodotrips.com/open-trip-3-days-2-nights-by-elbark-luxury-phinisi/
Nalareya Cruise Deluxe Phinisi,Deluxe Phinisi,2年（2024年造）,33.5m × 5.4m,16,未写明,仅标签推断(3d-weekdays),,Amani Master Cabin - Upper / Top Deck,10000000,7540,Liora Private Cabin - Middle / Main Deck,9375000,7068,Isla Superior Cabin - Lower Deck,8250000,6220,https://www.komodotrips.com/open-trip-3d2n-by-nalareya-cruise-deluxe-phinisi/
